MONTH,DAY_OF_MONTH,DAY_OF_WEEK,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,CRS_ARR_M,Temperature,Dew_Point,Wind Gust,Pressure,sch_dep,sch_arr,TAXI_OUT
11,1,5,-1.0,124,636.0,324,323,448,48,34.0,0.0,29.86,9,17,14
11,1,5,-7.0,371,2475.0,340,333,531,48,34.0,0.0,29.86,9,17,15
11,1,5,-3.0,181,1069.0,301,341,482,48,34.0,0.0,29.86,9,17,22
11,1,5,-2.0,168,944.0,345,343,513,48,34.0,0.0,29.86,9,17,12
11,1,5,-4.0,139,760.0,360,356,499,46,32.0,0.0,29.91,9,17,13
11,1,5,-1.0,161,740.0,359,358,460,46,32.0,0.0,29.91,9,17,21
11,1,5,-1.0,373,2475.0,360,359,553,46,32.0,0.0,29.91,9,17,26
11,1,5,-5.0,80,301.0,365,360,445,46,32.0,0.0,29.91,17,21,11
11,1,5,0.0,368,2465.0,365,365,553,46,32.0,0.0,29.91,17,21,25
11,1,5,3.0,184,1069.0,370,373,554,46,32.0,0.0,29.91,17,21,29
11,1,5,-5.0,343,2248.0,381,376,544,46,32.0,0.0,29.91,17,21,26
11,1,5,-5.0,95,213.0,384,379,479,46,32.0,0.0,29.91,17,21,30
11,1,5,-4.0,336,2153.0,390,386,546,46,32.0,0.0,29.91,17,21,24
11,1,5,-3.0,388,2586.0,410,407,618,46,32.0,0.0,29.91,17,21,17
11,1,5,-3.0,222,1598.0,301,409,523,46,32.0,0.0,29.91,17,21,16
11,1,5,-6.0,391,2586.0,420,414,631,47,33.0,0.0,30.0,17,21,16
11,1,5,-5.0,321,1990.0,419,414,620,47,33.0,0.0,30.0,17,21,25
11,1,5,-5.0,82,187.0,420,415,502,47,33.0,0.0,30.0,17,21,15
11,1,5,-3.0,386,2586.0,420,417,626,47,33.0,0.0,30.0,17,21,18
11,1,5,-2.0,143,718.0,419,417,562,47,33.0,0.0,30.0,17,21,14
11,1,5,-3.0,73,209.0,420,417,493,47,33.0,0.0,30.0,17,21,21
11,1,5,0.0,154,760.0,418,418,572,47,33.0,0.0,30.0,17,21,16
11,1,5,-2.0,187,1029.0,420,418,547,47,33.0,0.0,30.0,17,21,34
11,1,5,-7.0,379,2475.0,425,418,624,47,33.0,0.0,30.0,17,21,15
11,1,5,-1.0,365,2475.0,420,419,605,47,33.0,0.0,30.0,17,21,23
11,1,5,-2.0,373,2422.0,425,423,618,47,33.0,0.0,30.0,30,26,24
11,1,5,4.0,184,1089.0,420,424,604,47,33.0,0.0,30.0,30,26,24
11,1,5,-6.0,380,2422.0,430,424,630,47,33.0,0.0,30.0,30,26,19
11,1,5,-3.0,375,2454.0,445,442,640,47,33.0,0.0,30.0,30,26,20
11,1,5,-2.0,180,1005.0,447,445,627,47,33.0,0.0,30.0,30,26,13
11,1,5,6.0,75,266.0,455,461,530,47,33.0,0.0,30.0,30,26,11
11,1,5,-4.0,163,740.0,467,463,570,47,33.0,0.0,30.0,30,26,13
11,1,5,-6.0,376,2475.0,480,474,676,50,33.0,0.0,30.0,30,26,20
11,1,5,-3.0,166,740.0,479,476,585,50,33.0,0.0,30.0,30,26,19
11,1,5,-3.0,253,1417.0,480,477,673,50,33.0,0.0,30.0,30,26,23
11,1,5,-2.0,271,1626.0,480,478,631,50,33.0,0.0,30.0,30,26,20
11,1,5,-3.0,193,1074.0,449,478,642,50,33.0,0.0,30.0,30,26,10
11,1,5,-1.0,376,2475.0,480,479,676,50,33.0,0.0,30.0,30,26,12
11,1,5,-6.0,88,290.0,485,479,573,50,33.0,0.0,30.0,30,26,25
11,1,5,-5.0,156,828.0,485,480,641,50,33.0,0.0,30.0,46,19,24
11,1,5,0.0,176,944.0,480,480,656,50,33.0,0.0,30.0,46,19,10
11,1,5,-5.0,181,1089.0,485,480,666,50,33.0,0.0,30.0,46,19,36
11,1,5,-4.0,189,1182.0,485,481,614,50,33.0,0.0,30.0,46,19,11
11,1,5,-4.0,136,541.0,485,481,621,50,33.0,0.0,30.0,46,19,21
11,1,5,-3.0,170,944.0,485,482,655,50,33.0,0.0,30.0,46,19,15
11,1,5,-2.0,159,765.0,485,483,584,50,33.0,0.0,30.0,46,19,24
11,1,5,-2.0,111,427.0,485,483,596,50,33.0,0.0,30.0,46,19,12
11,1,5,-7.0,400,2586.0,490,483,710,50,33.0,0.0,30.0,46,19,28
11,1,5,4.0,187,1069.0,480,484,667,50,33.0,0.0,30.0,46,19,25
11,1,5,-1.0,234,1598.0,485,484,719,50,33.0,0.0,30.0,46,19,29
11,1,5,0.0,359,2446.0,485,485,664,50,33.0,0.0,30.0,46,19,25
11,1,5,-6.0,388,2569.0,495,489,703,50,33.0,0.0,30.0,46,19,26
11,1,5,7.0,173,1005.0,485,492,658,50,33.0,0.0,30.0,46,19,21
11,1,5,6.0,104,427.0,488,494,592,50,33.0,0.0,30.0,46,19,21
11,1,5,-3.0,84,264.0,423,494,507,50,33.0,0.0,30.0,46,19,27
11,1,5,-7.0,321,1990.0,505,498,706,50,33.0,0.0,30.0,46,19,26
11,1,5,8.0,194,1089.0,490,498,684,50,33.0,0.0,30.0,46,19,25
11,1,5,14.0,174,1069.0,485,499,659,50,33.0,0.0,30.0,46,19,26
11,1,5,0.0,239,1391.0,509,509,688,50,33.0,0.0,30.0,46,19,16
11,1,5,1.0,376,2446.0,510,511,706,50,33.0,0.0,30.0,46,19,22
11,1,5,-4.0,379,2475.0,515,511,714,50,33.0,0.0,30.0,46,19,25
11,1,5,2.0,146,760.0,510,512,656,50,33.0,0.0,30.0,46,19,16
11,1,5,-3.0,370,2475.0,515,512,705,50,33.0,0.0,30.0,46,19,16
11,1,5,-3.0,73,187.0,427,515,500,50,33.0,0.0,30.0,46,19,22
11,1,5,-3.0,84,301.0,480,517,564,50,33.0,0.0,30.0,46,19,15
11,1,5,-7.0,382,2422.0,525,518,727,50,33.0,0.0,30.0,46,19,15
11,1,5,-2.0,141,636.0,523,521,664,50,33.0,0.0,30.0,46,19,17
11,1,5,-3.0,204,1182.0,400,523,544,50,33.0,0.0,30.0,46,19,13
11,1,5,-5.0,84,228.0,540,535,624,52,32.0,0.0,30.02,46,19,18
11,1,5,-3.0,95,301.0,485,536,580,52,32.0,0.0,30.02,46,19,22
11,1,5,-3.0,153,828.0,451,545,604,52,32.0,0.0,30.02,30,18,19
